,user_id,feature_used,session_duration,engagement_score,accessibility_settings,age_group,gender,additional_attributes,user_characteristics
1396,user_3429,High Contrast Mode,89.86,5,1,Adult,Female,Straight,Adult/Female/Straight
1397,user_4291,Text-to-Speech,31.02,2,0,Professional,Non-Binary,LGBTQ+,Professional/Non-Binary/LGBTQ+
1398,user_6668,Text-to-Speech,5.09,2,2,Senior,Non-Binary,LGBTQ+,Senior/Non-Binary/LGBTQ+
1400,user_1518,Text-to-Speech,63.26,5,3,Adult,Female,Straight,Adult/Female/Straight
1401,user_8705,Colorblind Mode,91.55,4,0,Teenager,Male,Straight,Teenager/Male/Straight
1402,user_6631,Multilingual,35.0,2,3,Senior,Non-Binary,LGBTQ+,Senior/Non-Binary/LGBTQ+
1403,user_5210,Text-to-Speech,5.96,5,3,Adult,Female,Straight,Adult/Female/Straight
1404,user_1857,High Contrast Mode,74.16,2,4,Professional,Non-Binary,LGBTQ+,Professional/Non-Binary/LGBTQ+
1405,user_5672,Visual Aid,116.62,3,0,Adult,Non-Binary,Person of Color,Adult/Non-Binary/Person of Color
1406,user_3813,Visual Aid,46.92,4,4,Adult,Non-Binary,Straight,Adult/Non-Binary/Straight
1407,user_1408,Visual Aid,23.13,5,5,Adult,Non-Binary,Straight,Adult/Non-Binary/Straight
1408,user_2174,Text-to-Speech,56.78,4,2,Teenager,Non-Binary,LGBTQ+,Teenager/Non-Binary/LGBTQ+
1409,user_1044,Multilingual,59.33,1,1,Senior,Non-Binary,Straight,Senior/Non-Binary/Straight
1411,user_1176,High Contrast Mode,70.1,5,5,Adult,Female,Straight,Adult/Female/Straight
1412,user_3825,Colorblind Mode,19.96,5,1,Adult,Non-Binary,Straight,Adult/Non-Binary/Straight
1413,user_8541,Text-to-Speech,22.14,1,4,Senior,Non-Binary,Person of Color,Senior/Non-Binary/Person of Color
1414,user_2054,Visual Aid,26.37,4,2,Professional,Non-Binary,Straight,Professional/Non-Binary/Straight
1415,user_8222,Text-to-Speech,88.09,3,5,Professional,Non-Binary,Person of Color,Professional/Non-Binary/Person of Color
1416,user_7935,Colorblind Mode,37.56,3,3,Adult,Male,Straight,Adult/Male/Straight
1417,user_769,Colorblind Mode,95.67,3,5,Young Adult,Non-Binary,Straight,Young Adult/Non-Binary/Straight
1418,user_8711,Text-to-Speech,60.27,1,4,Teenager,Female,Straight,Teenager/Female/Straight
1419,user_7048,Text-to-Speech,67.03,2,2,Adult,Female,Straight,Adult/Female/Straight
1421,user_7000,Colorblind Mode,13.54,1,3,Teenager,Non-Binary,Person of Color,Teenager/Non-Binary/Person of Color
1422,user_5160,Multilingual,55.61,5,2,Teenager,Non-Binary,Straight,Teenager/Non-Binary/Straight
1423,user_1771,High Contrast Mode,21.14,1,0,Teenager,Non-Binary,Person of Color,Teenager/Non-Binary/Person of Color
1424,user_4153,Visual Aid,39.23,3,2,Young Adult,Non-Binary,LGBTQ+,Young Adult/Non-Binary/LGBTQ+
1425,user_7155,Visual Aid,7.91,1,2,Adult,Non-Binary,LGBTQ+,Adult/Non-Binary/LGBTQ+
1426,user_6716,High Contrast Mode,56.06,1,3,Young Adult,Non-Binary,Straight,Young Adult/Non-Binary/Straight
1427,user_870,High Contrast Mode,88.49,2,3,Teenager,Male,Straight,Teenager/Male/Straight
1428,user_1680,Multilingual,77.48,1,3,Senior,Non-Binary,LGBTQ+,Senior/Non-Binary/LGBTQ+
1430,user_231,Colorblind Mode,56.3,1,2,Senior,Non-Binary,LGBTQ+,Senior/Non-Binary/LGBTQ+
1433,user_3882,Text-to-Speech,113.14,5,1,Young Adult,Female,Straight,Young Adult/Female/Straight
1434,user_6796,Visual Aid,16.45,5,0,Teenager,Non-Binary,Straight,Teenager/Non-Binary/Straight
1435,user_7588,Visual Aid,64.7,5,1,Senior,Non-Binary,Person of Color,Senior/Non-Binary/Person of Color
1436,user_607,Colorblind Mode,112.65,1,4,Teenager,Male,Straight,Teenager/Male/Straight
1438,user_5485,Visual Aid,96.91,3,3,Young Adult,Male,Straight,Young Adult/Male/Straight
1439,user_6056,High Contrast Mode,105.34,3,4,Teenager,Female,Straight,Teenager/Female/Straight
1440,user_2703,Colorblind Mode,54.05,2,1,Adult,Non-Binary,LGBTQ+,Adult/Non-Binary/LGBTQ+
1442,user_6352,Multilingual,73.8,2,3,Young Adult,Non-Binary,LGBTQ+,Young Adult/Non-Binary/LGBTQ+
1443,user_5051,Multilingual,90.77,3,1,Adult,Non-Binary,Person of Color,Adult/Non-Binary/Person of Color
1444,user_1276,Colorblind Mode,26.97,5,5,Professional,Non-Binary,LGBTQ+,Professional/Non-Binary/LGBTQ+
1445,user_2191,Text-to-Speech,70.76,3,3,Professional,Non-Binary,LGBTQ+,Professional/Non-Binary/LGBTQ+
1446,user_4309,High Contrast Mode,7.7,1,5,Young Adult,Non-Binary,Straight,Young Adult/Non-Binary/Straight
1447,user_6322,Colorblind Mode,115.49,3,5,Senior,Non-Binary,Straight,Senior/Non-Binary/Straight
1448,user_6129,High Contrast Mode,21.76,4,4,Young Adult,Male,Straight,Young Adult/Male/Straight
1449,user_5487,Multilingual,108.81,1,2,Senior,Non-Binary,Straight,Senior/Non-Binary/Straight
1450,user_2527,Visual Aid,109.81,2,5,Adult,Male,Straight,Adult/Male/Straight
1451,user_9849,Text-to-Speech,11.15,3,1,Teenager,Non-Binary,Person of Color,Teenager/Non-Binary/Person of Color
1452,user_5920,Text-to-Speech,119.04,3,5,Senior,Non-Binary,LGBTQ+,Senior/Non-Binary/LGBTQ+
1453,user_7968,Multilingual,82.18,4,1,Adult,Non-Binary,Person of Color,Adult/Non-Binary/Person of Color
1454,user_9196,Text-to-Speech,49.0,4,3,Professional,Female,Straight,Professional/Female/Straight
1455,user_7412,Visual Aid,85.57,2,5,Senior,Non-Binary,Person of Color,Senior/Non-Binary/Person of Color
1456,user_3206,Visual Aid,106.03,5,2,Teenager,Non-Binary,LGBTQ+,Teenager/Non-Binary/LGBTQ+
1457,user_5197,Multilingual,93.19,1,0,Young Adult,Female,Straight,Young Adult/Female/Straight
1458,user_1880,High Contrast Mode,44.92,4,2,Teenager,Non-Binary,Straight,Teenager/Non-Binary/Straight
1459,user_6216,Colorblind Mode,25.03,2,5,Professional,Male,Straight,Professional/Male/Straight
1460,user_8897,Text-to-Speech,83.92,5,0,Senior,Female,Straight,Senior/Female/Straight
1461,user_3908,Colorblind Mode,92.57,4,3,Adult,Non-Binary,LGBTQ+,Adult/Non-Binary/LGBTQ+
1462,user_2287,Visual Aid,19.37,3,5,Young Adult,Male,Straight,Young Adult/Male/Straight
1463,user_94,Visual Aid,11.81,4,0,Teenager,Male,Straight,Teenager/Male/Straight
1465,user_2607,Text-to-Speech,118.66,4,2,Young Adult,Male,Straight,Young Adult/Male/Straight
1467,user_2038,Multilingual,99.79,5,5,Teenager,Non-Binary,Straight,Teenager/Non-Binary/Straight
1468,user_1353,Text-to-Speech,97.7,1,1,Teenager,Non-Binary,Straight,Teenager/Non-Binary/Straight
1469,user_3512,Text-to-Speech,101.63,1,1,Adult,Non-Binary,Straight,Adult/Non-Binary/Straight
1472,user_823,Colorblind Mode,16.87,3,1,Professional,Female,Straight,Professional/Female/Straight
1473,user_981,Multilingual,108.77,5,3,Teenager,Female,Straight,Teenager/Female/Straight
1474,user_2345,Colorblind Mode,87.44,1,0,Senior,Non-Binary,Straight,Senior/Non-Binary/Straight
1475,user_1348,High Contrast Mode,41.46,3,1,Professional,Male,Straight,Professional/Male/Straight
1477,user_9843,Visual Aid,48.68,1,0,Professional,Male,Straight,Professional/Male/Straight
1478,user_8501,High Contrast Mode,73.05,2,2,Young Adult,Non-Binary,LGBTQ+,Young Adult/Non-Binary/LGBTQ+
1479,user_844,Visual Aid,90.61,4,1,Professional,Non-Binary,LGBTQ+,Professional/Non-Binary/LGBTQ+
1480,user_523,High Contrast Mode,105.66,2,0,Adult,Non-Binary,Straight,Adult/Non-Binary/Straight
1481,user_8743,Multilingual,8.01,3,5,Professional,Female,Straight,Professional/Female/Straight
1482,user_4162,High Contrast Mode,57.31,1,0,Adult,Non-Binary,LGBTQ+,Adult/Non-Binary/LGBTQ+
1483,user_7256,Visual Aid,11.32,5,1,Senior,Non-Binary,LGBTQ+,Senior/Non-Binary/LGBTQ+
1484,user_5162,Colorblind Mode,84.55,4,4,Adult,Non-Binary,LGBTQ+,Adult/Non-Binary/LGBTQ+
1486,user_5897,Multilingual,43.65,1,5,Senior,Female,Straight,Senior/Female/Straight
1487,user_7318,High Contrast Mode,105.04,2,1,Teenager,Male,Straight,Teenager/Male/Straight
1488,user_7961,Colorblind Mode,21.67,5,5,Senior,Non-Binary,Person of Color,Senior/Non-Binary/Person of Color
1489,user_4041,Visual Aid,98.51,5,2,Teenager,Non-Binary,Straight,Teenager/Non-Binary/Straight
1490,user_4754,High Contrast Mode,57.41,4,5,Adult,Non-Binary,LGBTQ+,Adult/Non-Binary/LGBTQ+
1491,user_3549,Colorblind Mode,6.03,2,0,Young Adult,Male,Straight,Young Adult/Male/Straight
1492,user_2453,Multilingual,52.09,2,1,Teenager,Non-Binary,LGBTQ+,Teenager/Non-Binary/LGBTQ+
1493,user_9182,Multilingual,56.05,5,3,Professional,Female,Straight,Professional/Female/Straight
1494,user_2957,High Contrast Mode,39.99,1,1,Senior,Non-Binary,Person of Color,Senior/Non-Binary/Person of Color
1495,user_3751,Colorblind Mode,62.6,4,3,Professional,Non-Binary,LGBTQ+,Professional/Non-Binary/LGBTQ+
1496,user_9936,Multilingual,63.83,3,5,Professional,Female,Straight,Professional/Female/Straight
1498,user_3085,Colorblind Mode,6.3,3,3,Young Adult,Male,Straight,Young Adult/Male/Straight
1500,user_1087,Text-to-Speech,50.86,5,4,Teenager,Female,Straight,Teenager/Female/Straight
1502,user_3950,Colorblind Mode,118.81,4,1,Professional,Male,Straight,Professional/Male/Straight
1503,user_6814,Multilingual,97.62,2,1,Young Adult,Non-Binary,LGBTQ+,Young Adult/Non-Binary/LGBTQ+
1504,user_6394,Colorblind Mode,54.54,4,5,Teenager,Non-Binary,Straight,Teenager/Non-Binary/Straight
1505,user_9506,Multilingual,114.78,3,5,Teenager,Female,Straight,Teenager/Female/Straight
1506,user_4304,Visual Aid,36.23,4,2,Young Adult,Female,Straight,Young Adult/Female/Straight
1507,user_8480,Text-to-Speech,105.06,4,1,Young Adult,Non-Binary,Person of Color,Young Adult/Non-Binary/Person of Color
1509,user_5871,Multilingual,106.12,4,1,Professional,Non-Binary,Straight,Professional/Non-Binary/Straight
1511,user_8405,High Contrast Mode,111.63,2,3,Adult,Non-Binary,Person of Color,Adult/Non-Binary/Person of Color
1512,user_163,Text-to-Speech,55.26,2,3,Teenager,Male,Straight,Teenager/Male/Straight
1513,user_8592,Visual Aid,67.92,1,2,Teenager,Non-Binary,Person of Color,Teenager/Non-Binary/Person of Color
1514,user_4449,Colorblind Mode,72.43,5,5,Young Adult,Non-Binary,LGBTQ+,Young Adult/Non-Binary/LGBTQ+
1516,user_9838,High Contrast Mode,41.42,4,1,Teenager,Non-Binary,LGBTQ+,Teenager/Non-Binary/LGBTQ+
1517,user_8454,Multilingual,108.1,2,5,Adult,Male,Straight,Adult/Male/Straight
1518,user_8147,Visual Aid,107.83,2,0,Senior,Female,Straight,Senior/Female/Straight
1521,user_9464,Visual Aid,23.65,4,3,Young Adult,Male,Straight,Young Adult/Male/Straight
1522,user_7425,Colorblind Mode,21.64,3,5,Young Adult,Male,Straight,Young Adult/Male/Straight
1523,user_5172,Visual Aid,61.63,4,0,Young Adult,Non-Binary,LGBTQ+,Young Adult/Non-Binary/LGBTQ+
1524,user_8364,Visual Aid,68.5,5,3,Teenager,Male,Straight,Teenager/Male/Straight
1525,user_4471,Text-to-Speech,80.58,2,2,Professional,Female,Straight,Professional/Female/Straight
1526,user_5488,Text-to-Speech,62.98,4,4,Adult,Non-Binary,Straight,Adult/Non-Binary/Straight
1527,user_6996,High Contrast Mode,108.8,2,4,Adult,Non-Binary,LGBTQ+,Adult/Non-Binary/LGBTQ+
1528,user_2322,Multilingual,82.52,1,5,Professional,Male,Straight,Professional/Male/Straight
1529,user_7770,Multilingual,88.23,1,0,Teenager,Non-Binary,LGBTQ+,Teenager/Non-Binary/LGBTQ+
1532,user_7639,Colorblind Mode,97.84,1,1,Young Adult,Female,Straight,Young Adult/Female/Straight
1533,user_874,Text-to-Speech,82.57,4,0,Teenager,Female,Straight,Teenager/Female/Straight
1535,user_4251,Text-to-Speech,23.15,3,3,Professional,Female,Straight,Professional/Female/Straight
1536,user_4897,Text-to-Speech,98.55,5,0,Young Adult,Non-Binary,Person of Color,Young Adult/Non-Binary/Person of Color
1537,user_6429,Visual Aid,61.15,1,0,Teenager,Non-Binary,Person of Color,Teenager/Non-Binary/Person of Color
1538,user_9997,Visual Aid,95.07,3,5,Senior,Non-Binary,LGBTQ+,Senior/Non-Binary/LGBTQ+
1539,user_8606,Multilingual,73.34,1,1,Senior,Male,Straight,Senior/Male/Straight
1540,user_4533,Multilingual,51.83,4,2,Teenager,Non-Binary,Straight,Teenager/Non-Binary/Straight
1541,user_5697,Text-to-Speech,69.08,5,5,Adult,Non-Binary,LGBTQ+,Adult/Non-Binary/LGBTQ+
1542,user_9240,Multilingual,58.16,2,0,Senior,Non-Binary,Person of Color,Senior/Non-Binary/Person of Color
1543,user_8877,Text-to-Speech,60.65,4,1,Young Adult,Non-Binary,LGBTQ+,Young Adult/Non-Binary/LGBTQ+
1544,user_477,High Contrast Mode,106.05,2,3,Young Adult,Non-Binary,LGBTQ+,Young Adult/Non-Binary/LGBTQ+
1545,user_9862,High Contrast Mode,51.81,2,0,Professional,Male,Straight,Professional/Male/Straight
1546,user_1005,Colorblind Mode,93.03,3,1,Professional,Male,Straight,Professional/Male/Straight
1547,user_6220,Multilingual,13.35,1,3,Senior,Male,Straight,Senior/Male/Straight
1548,user_6542,Visual Aid,19.22,2,0,Adult,Male,Straight,Adult/Male/Straight
1549,user_461,Text-to-Speech,110.79,1,4,Professional,Female,Straight,Professional/Female/Straight
1550,user_9399,Text-to-Speech,10.97,3,1,Young Adult,Non-Binary,Straight,Young Adult/Non-Binary/Straight
1551,user_4865,Visual Aid,106.65,2,3,Adult,Non-Binary,Person of Color,Adult/Non-Binary/Person of Color
1552,user_7658,Visual Aid,82.42,1,4,Professional,Non-Binary,LGBTQ+,Professional/Non-Binary/LGBTQ+
1553,user_8593,Text-to-Speech,71.54,4,0,Senior,Non-Binary,LGBTQ+,Senior/Non-Binary/LGBTQ+
1554,user_3252,Visual Aid,22.41,2,2,Senior,Non-Binary,Person of Color,Senior/Non-Binary/Person of Color
1555,user_896,Visual Aid,81.0,1,5,Professional,Female,Straight,Professional/Female/Straight
1556,user_6827,Visual Aid,30.55,5,3,Senior,Non-Binary,Straight,Senior/Non-Binary/Straight
1557,user_2410,Multilingual,107.96,5,5,Young Adult,Non-Binary,Person of Color,Young Adult/Non-Binary/Person of Color
1558,user_6975,Multilingual,93.52,5,2,Young Adult,Female,Straight,Young Adult/Female/Straight
1559,user_4768,Colorblind Mode,21.92,5,5,Teenager,Non-Binary,Straight,Teenager/Non-Binary/Straight
1560,user_6644,Visual Aid,8.4,5,4,Senior,Female,Straight,Senior/Female/Straight
1561,user_5433,Visual Aid,89.78,2,2,Young Adult,Non-Binary,LGBTQ+,Young Adult/Non-Binary/LGBTQ+
1562,user_8226,Text-to-Speech,24.24,2,4,Professional,Female,Straight,Professional/Female/Straight
1563,user_8715,High Contrast Mode,56.51,4,4,Professional,Non-Binary,Straight,Professional/Non-Binary/Straight
1564,user_9277,Multilingual,97.7,2,3,Young Adult,Female,Straight,Young Adult/Female/Straight
1565,user_9671,Text-to-Speech,5.52,2,2,Senior,Non-Binary,Person of Color,Senior/Non-Binary/Person of Color
1566,user_9067,Colorblind Mode,113.33,3,5,Senior,Non-Binary,Straight,Senior/Non-Binary/Straight
1567,user_8188,Multilingual,13.4,2,2,Young Adult,Non-Binary,Straight,Young Adult/Non-Binary/Straight
1568,user_2908,Text-to-Speech,92.68,5,5,Teenager,Female,Straight,Teenager/Female/Straight
1570,user_4390,Text-to-Speech,90.96,2,4,Young Adult,Male,Straight,Young Adult/Male/Straight
1571,user_4924,High Contrast Mode,9.87,3,0,Professional,Male,Straight,Professional/Male/Straight
1574,user_1346,Multilingual,33.11,5,5,Professional,Non-Binary,Person of Color,Professional/Non-Binary/Person of Color
1575,user_2332,Visual Aid,88.53,1,4,Young Adult,Non-Binary,Person of Color,Young Adult/Non-Binary/Person of Color
1576,user_8683,Multilingual,53.53,4,1,Adult,Non-Binary,Person of Color,Adult/Non-Binary/Person of Color
1577,user_4590,High Contrast Mode,60.52,1,0,Teenager,Female,Straight,Teenager/Female/Straight
1578,user_2291,Colorblind Mode,12.76,2,4,Adult,Female,Straight,Adult/Female/Straight
1579,user_703,High Contrast Mode,54.58,2,4,Young Adult,Female,Straight,Young Adult/Female/Straight
1581,user_2831,Multilingual,98.95,1,1,Young Adult,Female,Straight,Young Adult/Female/Straight
1582,user_7513,Multilingual,118.89,2,4,Teenager,Female,Straight,Teenager/Female/Straight
1583,user_5009,Colorblind Mode,119.16,3,4,Professional,Non-Binary,Straight,Professional/Non-Binary/Straight
1584,user_9600,Colorblind Mode,32.87,2,3,Professional,Non-Binary,LGBTQ+,Professional/Non-Binary/LGBTQ+
1585,user_4026,Colorblind Mode,76.76,1,1,Professional,Non-Binary,LGBTQ+,Professional/Non-Binary/LGBTQ+
1587,user_726,Colorblind Mode,24.9,4,2,Senior,Non-Binary,Straight,Senior/Non-Binary/Straight
1588,user_9649,Text-to-Speech,39.7,2,1,Senior,Non-Binary,Person of Color,Senior/Non-Binary/Person of Color
1589,user_8449,Visual Aid,114.86,2,1,Adult,Male,Straight,Adult/Male/Straight
1590,user_1509,Visual Aid,14.87,2,0,Senior,Non-Binary,Person of Color,Senior/Non-Binary/Person of Color
1591,user_1311,High Contrast Mode,31.65,3,1,Adult,Non-Binary,Straight,Adult/Non-Binary/Straight
1592,user_2347,High Contrast Mode,67.62,5,1,Young Adult,Non-Binary,Straight,Young Adult/Non-Binary/Straight
1593,user_2268,Multilingual,75.95,3,2,Senior,Non-Binary,Person of Color,Senior/Non-Binary/Person of Color
1594,user_624,Multilingual,55.88,3,4,Teenager,Male,Straight,Teenager/Male/Straight
1595,user_2977,Text-to-Speech,41.71,3,5,Adult,Non-Binary,LGBTQ+,Adult/Non-Binary/LGBTQ+
1596,user_1213,Visual Aid,5.1,3,3,Teenager,Non-Binary,Person of Color,Teenager/Non-Binary/Person of Color
1597,user_5591,Colorblind Mode,107.32,1,1,Senior,Non-Binary,LGBTQ+,Senior/Non-Binary/LGBTQ+
1598,user_1579,High Contrast Mode,6.6,3,3,Teenager,Female,Straight,Teenager/Female/Straight
1599,user_2269,High Contrast Mode,111.28,1,4,Young Adult,Non-Binary,Straight,Young Adult/Non-Binary/Straight
1600,user_8320,Multilingual,27.08,2,2,Senior,Non-Binary,Straight,Senior/Non-Binary/Straight
1601,user_5800,Colorblind Mode,99.98,4,0,Teenager,Female,Straight,Teenager/Female/Straight
1602,user_1283,Visual Aid,92.59,3,1,Young Adult,Non-Binary,LGBTQ+,Young Adult/Non-Binary/LGBTQ+
1603,user_3445,High Contrast Mode,105.51,5,4,Senior,Non-Binary,Person of Color,Senior/Non-Binary/Person of Color
1604,user_6280,High Contrast Mode,9.25,5,2,Teenager,Non-Binary,LGBTQ+,Teenager/Non-Binary/LGBTQ+
1605,user_8350,Visual Aid,16.83,4,5,Teenager,Female,Straight,Teenager/Female/Straight
1607,user_526,High Contrast Mode,101.08,3,2,Young Adult,Female,Straight,Young Adult/Female/Straight
1608,user_5320,Multilingual,61.33,3,2,Teenager,Non-Binary,Straight,Teenager/Non-Binary/Straight
1610,user_1773,Visual Aid,13.71,5,3,Professional,Non-Binary,Person of Color,Professional/Non-Binary/Person of Color
1612,user_5439,Colorblind Mode,67.08,1,0,Young Adult,Non-Binary,LGBTQ+,Young Adult/Non-Binary/LGBTQ+
1613,user_2707,Multilingual,69.51,3,0,Senior,Female,Straight,Senior/Female/Straight
1614,user_3768,Colorblind Mode,68.99,4,0,Professional,Non-Binary,Straight,Professional/Non-Binary/Straight
1615,user_8005,Multilingual,86.51,2,0,Professional,Non-Binary,Straight,Professional/Non-Binary/Straight
1616,user_129,High Contrast Mode,105.9,3,3,Young Adult,Non-Binary,Straight,Young Adult/Non-Binary/Straight
1617,user_21,High Contrast Mode,11.03,2,5,Professional,Non-Binary,Person of Color,Professional/Non-Binary/Person of Color
1618,user_8806,Multilingual,23.31,5,1,Adult,Male,Straight,Adult/Male/Straight
1619,user_7406,Text-to-Speech,100.77,3,1,Adult,Non-Binary,LGBTQ+,Adult/Non-Binary/LGBTQ+
1620,user_8162,High Contrast Mode,39.12,3,4,Senior,Non-Binary,LGBTQ+,Senior/Non-Binary/LGBTQ+
1621,user_7801,Colorblind Mode,63.16,5,0,Adult,Non-Binary,Straight,Adult/Non-Binary/Straight
1622,user_6092,Multilingual,12.4,2,0,Young Adult,Non-Binary,Person of Color,Young Adult/Non-Binary/Person of Color
1623,user_1267,High Contrast Mode,48.31,1,0,Senior,Non-Binary,Straight,Senior/Non-Binary/Straight
1624,user_884,Text-to-Speech,40.16,5,2,Adult,Non-Binary,Straight,Adult/Non-Binary/Straight
1625,user_758,High Contrast Mode,27.46,5,5,Young Adult,Male,Straight,Young Adult/Male/Straight
1626,user_3370,Colorblind Mode,35.79,5,1,Teenager,Female,Straight,Teenager/Female/Straight
1627,user_2883,High Contrast Mode,47.45,2,0,Adult,Male,Straight,Adult/Male/Straight
1628,user_2596,Visual Aid,79.16,2,4,Adult,Non-Binary,Straight,Adult/Non-Binary/Straight
1629,user_7061,Text-to-Speech,55.17,2,4,Teenager,Non-Binary,Straight,Teenager/Non-Binary/Straight
1630,user_436,Visual Aid,119.82,2,5,Senior,Non-Binary,Person of Color,Senior/Non-Binary/Person of Color
1631,user_7796,Colorblind Mode,88.41,1,4,Senior,Female,Straight,Senior/Female/Straight
1633,user_4702,Multilingual,39.88,2,4,Adult,Female,Straight,Adult/Female/Straight
1634,user_7607,Colorblind Mode,66.65,2,1,Young Adult,Male,Straight,Young Adult/Male/Straight
1635,user_8348,Text-to-Speech,70.67,5,4,Professional,Male,Straight,Professional/Male/Straight
1637,user_3930,High Contrast Mode,43.13,2,5,Adult,Male,Straight,Adult/Male/Straight
1638,user_2634,Visual Aid,63.3,2,5,Teenager,Non-Binary,LGBTQ+,Teenager/Non-Binary/LGBTQ+
1639,user_6983,Text-to-Speech,102.31,2,0,Senior,Non-Binary,Straight,Senior/Non-Binary/Straight
1641,user_4204,Multilingual,110.31,1,1,Teenager,Non-Binary,Person of Color,Teenager/Non-Binary/Person of Color
1642,user_8716,Multilingual,61.2,5,1,Adult,Male,Straight,Adult/Male/Straight
1643,user_5073,Text-to-Speech,47.42,4,0,Professional,Non-Binary,Straight,Professional/Non-Binary/Straight
1644,user_6918,Text-to-Speech,39.88,1,1,Senior,Female,Straight,Senior/Female/Straight
1645,user_4460,High Contrast Mode,100.39,4,2,Young Adult,Non-Binary,LGBTQ+,Young Adult/Non-Binary/LGBTQ+
1647,user_1272,Colorblind Mode,102.7,4,5,Senior,Non-Binary,Person of Color,Senior/Non-Binary/Person of Color
1648,user_1014,High Contrast Mode,58.39,3,5,Adult,Male,Straight,Adult/Male/Straight
1651,user_3577,Visual Aid,115.91,1,2,Senior,Non-Binary,Straight,Senior/Non-Binary/Straight
1652,user_3801,High Contrast Mode,22.35,5,1,Senior,Non-Binary,Person of Color,Senior/Non-Binary/Person of Color
1653,user_8926,Colorblind Mode,80.1,5,0,Adult,Non-Binary,Straight,Adult/Non-Binary/Straight
1655,user_4220,Multilingual,75.41,4,1,Teenager,Male,Straight,Teenager/Male/Straight
1656,user_3977,Visual Aid,60.67,5,0,Young Adult,Male,Straight,Young Adult/Male/Straight
1657,user_7317,Colorblind Mode,75.84,4,2,Adult,Non-Binary,Straight,Adult/Non-Binary/Straight
1658,user_7122,Colorblind Mode,49.03,2,0,Young Adult,Female,Straight,Young Adult/Female/Straight
1659,user_7883,Visual Aid,33.3,1,1,Professional,Non-Binary,LGBTQ+,Professional/Non-Binary/LGBTQ+
1660,user_3869,Text-to-Speech,18.79,1,2,Adult,Non-Binary,Straight,Adult/Non-Binary/Straight
1661,user_904,Text-to-Speech,111.83,2,4,Young Adult,Non-Binary,Straight,Young Adult/Non-Binary/Straight
1662,user_5825,Multilingual,84.24,5,4,Senior,Non-Binary,Person of Color,Senior/Non-Binary/Person of Color
1664,user_5618,High Contrast Mode,41.7,4,4,Teenager,Non-Binary,Person of Color,Teenager/Non-Binary/Person of Color
1665,user_8816,Colorblind Mode,104.74,1,4,Adult,Female,Straight,Adult/Female/Straight
1666,user_2852,Multilingual,8.53,3,4,Young Adult,Non-Binary,Person of Color,Young Adult/Non-Binary/Person of Color
1667,user_1265,Visual Aid,68.51,1,1,Teenager,Non-Binary,Person of Color,Teenager/Non-Binary/Person of Color
1668,user_6928,Colorblind Mode,109.59,2,5,Adult,Non-Binary,LGBTQ+,Adult/Non-Binary/LGBTQ+
1669,user_4549,High Contrast Mode,52.88,2,2,Senior,Female,Straight,Senior/Female/Straight
1670,user_5592,Colorblind Mode,11.08,4,5,Senior,Non-Binary,Person of Color,Senior/Non-Binary/Person of Color
1671,user_9872,Text-to-Speech,97.73,3,1,Senior,Non-Binary,Straight,Senior/Non-Binary/Straight
1673,user_8938,Visual Aid,10.69,2,3,Professional,Female,Straight,Professional/Female/Straight
1674,user_2434,Text-to-Speech,97.26,1,0,Senior,Male,Straight,Senior/Male/Straight
1675,user_2271,High Contrast Mode,119.63,1,5,Adult,Non-Binary,Person of Color,Adult/Non-Binary/Person of Color
1676,user_4448,Visual Aid,50.47,2,0,Adult,Non-Binary,Person of Color,Adult/Non-Binary/Person of Color
1677,user_3376,Visual Aid,29.95,5,2,Teenager,Non-Binary,Straight,Teenager/Non-Binary/Straight
1678,user_1527,Colorblind Mode,23.75,2,1,Teenager,Female,Straight,Teenager/Female/Straight
1679,user_2232,Colorblind Mode,22.56,5,1,Professional,Non-Binary,Straight,Professional/Non-Binary/Straight
1680,user_1310,Text-to-Speech,116.33,3,1,Adult,Non-Binary,Person of Color,Adult/Non-Binary/Person of Color
1681,user_2446,High Contrast Mode,54.22,3,0,Professional,Non-Binary,Person of Color,Professional/Non-Binary/Person of Color
1682,user_5829,Colorblind Mode,106.74,2,1,Young Adult,Non-Binary,Person of Color,Young Adult/Non-Binary/Person of Color
1683,user_5992,High Contrast Mode,42.89,4,4,Young Adult,Non-Binary,LGBTQ+,Young Adult/Non-Binary/LGBTQ+
1684,user_8216,Visual Aid,97.35,2,5,Teenager,Non-Binary,Person of Color,Teenager/Non-Binary/Person of Color
1687,user_3203,High Contrast Mode,44.48,4,2,Senior,Male,Straight,Senior/Male/Straight
1688,user_2760,Colorblind Mode,23.66,2,5,Young Adult,Non-Binary,Person of Color,Young Adult/Non-Binary/Person of Color
1690,user_344,Visual Aid,79.21,1,3,Adult,Non-Binary,Straight,Adult/Non-Binary/Straight
1691,user_7819,Multilingual,20.36,2,3,Professional,Non-Binary,LGBTQ+,Professional/Non-Binary/LGBTQ+
1692,user_8904,Visual Aid,36.3,5,3,Senior,Non-Binary,Person of Color,Senior/Non-Binary/Person of Color
1693,user_1958,High Contrast Mode,104.57,5,2,Teenager,Female,Straight,Teenager/Female/Straight
1694,user_4379,Colorblind Mode,44.77,3,5,Teenager,Male,Straight,Teenager/Male/Straight
1695,user_1820,Colorblind Mode,28.32,4,5,Young Adult,Non-Binary,Straight,Young Adult/Non-Binary/Straight
